Dosya Adı,Tahmin,Confidence
Ekran görüntüsü 2025-01-31 174720.png,"slide rule, slipstick",0.2393
Screenshot 2025-09-26 125013.png,scoreboard,0.9713
Ekran görüntüsü 2025-05-09 123329.png,"web site, website, internet site, site",0.7587
Ekran görüntüsü 2025-05-09 124016.png,"web site, website, internet site, site",0.9087
Ekran görüntüsü 2025-01-09 004504.png,"brass, memorial tablet, plaque",0.1438
Screenshot 2025-09-08 110801.png,"web site, website, internet site, site",0.9853
Ekran görüntüsü 2025-01-08 233046.png,"brass, memorial tablet, plaque",0.3562
Ekran görüntüsü 2025-05-09 131712.png,"web site, website, internet site, site",0.9729
Ekran görüntüsü 2025-01-09 011134.png,"brass, memorial tablet, plaque",0.4153
Ekran görüntüsü 2025-01-09 003104.png,"brass, memorial tablet, plaque",0.493
Ekran görüntüsü 2025-01-09 005511.png,"book jacket, dust cover, dust jacket, dust wrapper",0.3898
Ekran görüntüsü 2025-01-29 142421.png,digital clock,0.0764
Ekran görüntüsü 2025-05-27 194029.png,"binder, ring-binder",0.3894
Ekran görüntüsü 2025-04-07 142333.png,"web site, website, internet site, site",0.6856
Ekran görüntüsü 2025-05-24 141325.png,"web site, website, internet site, site",0.9612
Ekran görüntüsü 2025-01-31 183448.png,"web site, website, internet site, site",0.9012
Ekran görüntüsü 2025-01-09 002054.png,"slide rule, slipstick",0.2137
Ekran görüntüsü 2025-05-27 200031.png,"book jacket, dust cover, dust jacket, dust wrapper",0.1314
Ekran görüntüsü 2025-01-09 002504.png,"book jacket, dust cover, dust jacket, dust wrapper",0.099
Ekran görüntüsü 2025-02-03 160937.png,"web site, website, internet site, site",0.9483
Ekran görüntüsü 2025-01-09 003809.png,"revolver, six-gun, six-shooter",0.5827
Ekran görüntüsü 2025-04-07 143250.png,"web site, website, internet site, site",0.8202
Ekran görüntüsü 2025-05-27 194809.png,"binder, ring-binder",0.1426
Ekran görüntüsü 2025-05-16 164811.png,"web site, website, internet site, site",0.5933
Ekran görüntüsü 2025-05-27 193616.png,"binder, ring-binder",0.9198
Ekran görüntüsü 2025-05-09 123919.png,"web site, website, internet site, site",0.8024
Ekran görüntüsü 2025-05-27 195852.png,"book jacket, dust cover, dust jacket, dust wrapper",0.3008
Ekran görüntüsü 2025-05-16 173128.png,"web site, website, internet site, site",0.6127
Ekran görüntüsü 2025-01-08 234628.png,envelope,0.06
Ekran görüntüsü 2025-01-25 141039.png,"web site, website, internet site, site",0.7922
Ekran görüntüsü 2025-05-16 145757.png,"hand-held computer, hand-held microcomputer",0.3279
Ekran görüntüsü 2025-05-16 171350.png,"web site, website, internet site, site",0.5767
Ekran görüntüsü 2025-05-27 195317.png,"book jacket, dust cover, dust jacket, dust wrapper",0.6547
Ekran görüntüsü 2025-01-25 141230.png,"web site, website, internet site, site",0.8947
Ekran görüntüsü 2025-05-20 124549.png,tripod,0.5299
Screenshot 2025-09-29 192412.png,"web site, website, internet site, site",0.971
Ekran görüntüsü 2025-05-09 133354.png,"web site, website, internet site, site",0.9855
Ekran görüntüsü 2025-05-27 194128.png,"brass, memorial tablet, plaque",0.1699
Screenshot 2025-09-28 160259.png,"web site, website, internet site, site",0.827
Ekran görüntüsü 2025-05-16 164839.png,"web site, website, internet site, site",0.5071
Ekran görüntüsü 2025-05-09 124005.png,"web site, website, internet site, site",0.9519
Ekran görüntüsü 2025-05-16 144730.png,"web site, website, internet site, site",0.9513
Ekran görüntüsü 2025-05-09 131114.png,"web site, website, internet site, site",0.2667
Screenshot 2025-09-08 110822.png,"web site, website, internet site, site",0.6859
Ekran görüntüsü 2025-01-08 234747.png,"brass, memorial tablet, plaque",0.3766
Ekran görüntüsü 2025-05-27 194633.png,"binder, ring-binder",0.8373
Ekran görüntüsü 2025-01-08 235952.png,"book jacket, dust cover, dust jacket, dust wrapper",0.3609
Ekran görüntüsü 2025-01-09 000853.png,"brass, memorial tablet, plaque",0.23
Ekran görüntüsü 2025-03-19 170534.png,"web site, website, internet site, site",0.4924
Ekran görüntüsü 2025-05-27 194251.png,"binder, ring-binder",0.9099
Ekran görüntüsü 2025-05-04 155116.png,"web site, website, internet site, site",0.1202
Ekran görüntüsü 2025-04-07 143403.png,"web site, website, internet site, site",0.9797
Ekran görüntüsü 2025-01-09 004410.png,"brass, memorial tablet, plaque",0.7634
Ekran görüntüsü 2025-01-28 171041.png,"web site, website, internet site, site",0.7994
Ekran görüntüsü 2025-03-19 164114.png,"screen, CRT screen",0.3073
Ekran görüntüsü 2025-05-09 123946.png,"web site, website, internet site, site",0.6959
Screenshot 2025-07-02 124526.png,"switch, electric switch, electrical switch",0.5875
Screenshot 2025-09-29 190252.png,"web site, website, internet site, site",0.8109
Ekran görüntüsü 2025-05-16 171018.png,"web site, website, internet site, site",0.6049
Ekran görüntüsü 2025-05-27 195037.png,"binder, ring-binder",0.3004
